test_id,category,target,recommended_question,route_expectation,precondition,expected_result,pass_criteria,source_doc
PX01,参数泛化,单日综合日报,统计租户平台990001下渠道990011在2026-04-02这一天的综合日报基础指标,可命中T01或等价模板,seed已导入,只返回04-02；充值金额为2080；不混入其他日期,日期过滤准确且数值与expected-results一致,业务需求泛化测试用例设计.md
PX02,参数泛化,多渠道综合日报,对比租户平台990001下渠道990011和990012在2026-04-01到2026-04-07的综合日报基础指标,可命中T01扩展或普通SQL,seed已导入,结果按渠道分组；990012不串入990011,多渠道过滤和分组正确,业务需求泛化测试用例设计.md
PX03,参数泛化,渠道商/全渠道汇总,按渠道商汇总租户平台990001在2026-04-01到2026-04-07的存款人数、存款金额、投注人数和有效投注,FC02/聚合模板,需要聚合模板或普通SQL支持,金额相加；人数按口径去重；汇总比例需重算,汇总口径正确且不重复计数,业务需求泛化测试用例设计.md
PX04,参数泛化,ROI自定义周期,统计租户平台990001下渠道990011在2026-04-01到2026-04-03首存cohort的D1、D3、D7、D15、D30累计渠道收入,T04/T05长周期扩展,模板支持horizon list,返回请求的周期集合；D7后无新增行为时累计值保持,周期参数未丢失且累计方向正确,业务需求泛化测试用例设计.md
PX05,参数泛化,TOP5/非TOP5,统计租户平台990001下渠道990011在2026-04-15到2026-04-26的TOP5和非TOP5用户存款、有效投注、输赢、投充比和杀率,T09/T20扩展,高频seed已导入,TOP5+非TOP5合计等于ALL；top_n=5,TOPN参数正确且分层可对账,业务需求泛化测试用例设计.md
PX06,参数泛化,首存用户D30趋势,输出租户平台990001渠道990011首存用户从D1到D30每日充值、提现、有效投注、输赢、杀率和投充比,T10长周期扩展,模板支持n_days=30,D1~D30行数完整；无分母时比例为空,长周期行数完整且比例边界正确,业务需求泛化测试用例设计.md
PX07,参数泛化,游戏类型自然周/月,按自然周统计租户平台990001渠道990011各游戏类型有效投注、下注次数、均注、输赢和投注占比,T11扩展或普通SQL,支持自然周边界,自然周边界正确；占比分母为周内总有效投注,时间粒度与占比分母正确,业务需求泛化测试用例设计.md
PX08,参数泛化,首存金额全桶位,按首存金额固定档位输出租户平台990001渠道990011在2026-04-01到2026-04-30的首存人数与占比，包含10、20、30、50、100、200、300、400、500、1000、2000、2000以上和其他,T13/T22扩展,全桶位seed或空桶策略已定义,所有桶位占比合计为1；2000与2000以上不混淆,桶位完整且边界正确,业务需求泛化测试用例设计.md
PX09,参数泛化,续存汇总行,按日输出租户平台990001渠道990011在2026-04-01到2026-04-07首存及2到6存人数、率、均额，并输出汇总行,T08扩展,支持汇总行,汇总比例按汇总分子/分母重算，不做每日比例简单平均,汇总行比例口径正确,业务需求泛化测试用例设计.md
PX10,参数泛化,ROI外部补充后实算,统计租户平台990001下渠道990011在2026-04-01到2026-04-03首存cohort从D1到D7的ROI，投放金额为04-01=1000、04-02=2000、04-03=500,先识别外部依赖补充后继续计算,产品支持外部值回填,ROI=cumulative_channel_revenue/ad_spend；不编造投放金额,外部补充后可实算且分子分母可解释,业务需求泛化测试用例设计.md
PX11,参数泛化,流量外部补充后实算,统计租户平台990001下渠道990011在2026-04-01到2026-04-06的渠道日报，并补充PV、UV、下载点击UV、UV下载率和UV注册率,先识别外部依赖补充后继续计算,产品支持外部值回填,UV下载率=下载点击UV/UV；UV注册率=注册人数/UV,外部流量指标并表和比率正确,业务需求泛化测试用例设计.md
PX12,参数泛化,泛化问题图表,对“TOP5和非TOP5用户存款、有效投注、输赢、投充比和杀率”生成分组对比图,图表生成,PX05已有preview,图表分组、指标、排序与preview一致,图表数据与preview一致,业务需求泛化测试用例设计.md
LING01,语言泛化,首存同义词,统计渠道990011在2026-04-01到2026-04-03首充用户的二存到六存情况,命中first_deposit/retention_deposit,业务词典已导入,“首充”按首存解释，结果等价T08,同义词命中且数值正确,业务需求泛化测试用例设计.md
LING02,语言泛化,续存同义词,看一下渠道990011首存用户后续复存、二存、三存的转化,命中续存词典或澄清周期,业务词典已导入,“复存/二存/三存”不被解释成普通充值总数,续存口径正确或能澄清缺失参数,业务需求泛化测试用例设计.md
LING03,语言泛化,TOPN口语表达,找出这个渠道投注流水最高的前5个大户，和其他用户对比投充比与杀率,命中TOPN口径,业务词典已导入,“大户/前5个”映射TOP5,TOP5识别正确,业务需求泛化测试用例设计.md
LING04,语言泛化,杀率同义词,看渠道990011在2026-04-01到2026-04-07的平台赢率和有效投注,命中kill_rate,业务词典已导入,平台赢率=输赢/有效投注,杀率公式正确,业务需求泛化测试用例设计.md
LING05,语言泛化,ROI同义词,看这个渠道首存用户投放回收和回本情况,命中ROI+外部依赖,外部依赖已导入,识别需要投放金额，不直接编造ROI,外部依赖阻断正确,业务需求泛化测试用例设计.md
LING06,语言泛化,投充比同义词,统计渠道990011的流水充值比,命中bet_deposit_ratio,业务词典已导入,流水充值比=有效投注/存款金额,投充比公式正确,业务需求泛化测试用例设计.md
LING07,语言泛化,首存成本同义词,这个渠道新客首充成本是多少,命中first_deposit_cost+ad_spend,外部依赖已导入,识别需要投放金额和首存人数,首存成本外部依赖正确,业务需求泛化测试用例设计.md
LING08,语言泛化,流量指标口语表达,帮我把访问量、独立访客、下载点击人数一起放进渠道日报,命中PV/UV/download_click_uv外部依赖,外部依赖已导入,明确索取外部流量指标,流量指标不被编造,业务需求泛化测试用例设计.md
LING09,语言泛化,模糊表达澄清,帮我看看这个渠道最近效果怎么样,不应强行命中模板,无,先澄清渠道、时间、关注指标或给出可选分析方向,参数不足时不编造,业务需求泛化测试用例设计.md
LING10,语言泛化,明确不用模板,不用业务报表模板，直接查原始充值订单，看看渠道990011每天成功充值金额,普通text-to-SQL优先,普通问数链路可用,不应为了模板覆盖而强行anchored_template,negative cue生效,业务需求泛化测试用例设计.md
EDGE01,数据边界,失败充值排除,查询渠道990011在2026-04-01到2026-04-07成功充值金额，并说明失败充值是否计入,普通SQL或T01,seed含失败充值,失败充值66不计入成功充值,成功状态过滤正确,业务需求泛化测试用例设计.md
EDGE02,数据边界,渠道隔离,查询渠道990011充值金额，同时对照渠道990012是否被混入,普通SQL或T01,seed含对照渠道,990012数据不能串入990011,渠道过滤正确,业务需求泛化测试用例设计.md
EDGE03,数据边界,分母为0,查询无充值但有投注或无投注日期的投充比/杀率,规则约束,存在分母为0或构造无数据日,分母为0时返回NULL/空值/无法计算，不报错不编造,比例边界正确,业务需求泛化测试用例设计.md
EDGE04,数据边界,无数据日期,查询渠道990011在2026-04-20单日的综合日报基础指标,普通SQL或模板,该日无数据或按seed确认,无数据时明确为空或0，口径一致,空结果处理正确,业务需求泛化测试用例设计.md
EDGE05,数据边界,TOPN人数不足,对一个活跃用户不足5人的时间段查询TOP5和非TOP5,TOPN规则,选择活跃人数不足区间,TOPN不足时说明实际人数，不出现负数非TOPN,TOPN边界正确,业务需求泛化测试用例设计.md
EDGE06,数据边界,2000边界,查询首存金额2000元和2000元以上的用户数,T13/T22,seed含2000和大于2000,2000元归固定2000桶，>2000归2000以上,金额桶边界正确,业务需求泛化测试用例设计.md
EDGE07,数据边界,空金额桶,查询全首存金额桶位并展示无数据桶,T13/T22,空桶策略已定义,空桶按产品约定返回0或不展示，报告需说明策略,空桶展示策略一致,业务需求泛化测试用例设计.md
EDGE08,数据边界,空游戏类型,查询全游戏类型流水分布，包含当前无数据的游戏类型,T11/T21,全游戏类型维表或策略已定义,无数据类型处理策略明确；总有效投注可对账,游戏类型枚举处理正确,业务需求泛化测试用例设计.md
EDGE09,数据边界,登录去重,查询每天登录去重玩家数,普通SQL,登录日志已导入,同一玩家多次登录只计1人,去重口径正确,业务需求泛化测试用例设计.md
EDGE10,数据边界,负优惠/加扣款,查询综合日报中的优惠、彩金、加扣款合计,T01,seed含负数加扣款,负数加扣款按符号参与计算，不被取绝对值,金额符号处理正确,业务需求泛化测试用例设计.md
EDGE11,数据边界,汇总比例重算,查询首存率/续存率的汇总行,T08/FC07,支持汇总行,汇总比例按汇总后分子分母重算，不是每日比例平均,汇总比例正确,业务需求泛化测试用例设计.md
EDGE12,数据边界,占比合计,查询游戏类型投注占比或首存金额桶占比,T11/T13,seed已导入,占比合计接近1，允许四舍五入误差,占比分母正确,业务需求泛化测试用例设计.md
ROUTE01,路由泛化,明确模板命中,统计租户平台990001下渠道990011在2026-04-01到2026-04-07的综合日报,anchored_template,SQL模板已导入,diagnostics可见templateDecision.mode=anchored_template或等价字段,模板命中可观测,业务需求泛化测试用例设计.md
ROUTE02,路由泛化,普通SQL路径,直接查原始提现订单，统计租户平台990001下渠道990011在2026-04-01到2026-04-07每天成功提现金额,普通text-to-SQL,普通问数链路可用,不要求命中SQL模板，SQL来源可为LLM/semantic,普通SQL路径正确,业务需求泛化测试用例设计.md
ROUTE03,路由泛化,参数不足澄清,看这个渠道最近表现怎么样,澄清,无,不应默认编造渠道、日期或指标,澄清行为正确,业务需求泛化测试用例设计.md
ROUTE04A,路由泛化,ROI缺平台优先澄清,统计渠道990011首存cohort的ROI,澄清,外部依赖已导入，但问题缺少租户平台,先要求补充租户平台，不应直接进入外部投放金额阻断或编造ROI,决策优先级正确：缺业务槽位先澄清，补齐平台后再检查外部依赖,业务需求泛化测试用例设计.md
ROUTE04,路由泛化,外部依赖阻断,统计租户平台990001下渠道990011在2026-04-01到2026-04-03首存cohort的ROI,阻断/索取外部数据,外部依赖已导入，且租户平台/渠道/日期已明确,要求补充投放金额，不编造ROI,业务槽位已齐时进入外部依赖阻断，diagnostics 能解释缺少 ad_spend,业务需求泛化测试用例设计.md
ROUTE05,路由泛化,外部补充后继续,在ROUTE04后补充投放金额并继续计算,继续计算,产品支持外部值回填,能复用上文cohort条件并输出ROI,上下文继承和外部实算正确,业务需求泛化测试用例设计.md
ROUTE06,路由泛化,negative cue防误命中,不要用综合日报模板，直接查充值订单表，统计租户平台990001下渠道990011在2026-04-01到2026-04-07的成功充值笔数,普通text-to-SQL,negative cues已导入,不被T01错误锚定,模板误命中被抑制,业务需求泛化测试用例设计.md
ROUTE07,路由泛化,追问继承条件,对T09结果追问“那只看非TOP3呢？”,追问,T09已有结果,继承日期、渠道、tenant_plat_id，仅切换用户类型,上下文继承正确,业务需求泛化测试用例设计.md
ROUTE08,路由泛化,追问改TOPN,对TOP3结果追问“改成TOP5看看”,追问+参数变更,TOP3已有结果且支持TOP5,top_n从3改为5，其他条件不丢失,追问参数变更正确,业务需求泛化测试用例设计.md
ROUTE09,路由泛化,保存参考样例后复用,保存一次普通问数结果为“参考样例”，再用相近问题提问,reference,保存SQL模板功能可用,可参考SQL，但不应自动升级为业务口径,参考样例复用正确,业务需求泛化测试用例设计.md
ROUTE10,路由泛化,保存业务口径后命中,管理员保存高置信结果为“业务口径”，再用等价业务问题提问,anchored_template,管理员权限可用,能观察到业务模板命中；非管理员不能标记业务口径,业务口径权限和命中正确,业务需求泛化测试用例设计.md
ROUTE11,路由泛化,diagnostics完整性,分别检查模板命中、普通SQL、阻断、失败问数的调用诊断,可观测性,诊断页面可用,问题、thread ID、SQL来源、降级原因不为空,诊断信息完整,业务需求泛化测试用例设计.md
ROUTE12,路由泛化,图表/数据表分流,对图表型结果固定到看板，对表格型结果保存为数据表,产品路由,图表和数据表功能可用,图表不保存成数据表；表格不固定到看板,产物化路由正确,业务需求泛化测试用例设计.md
