variant_id,full_ref,excel_sheet,variant_type,recommended_question,pass_criteria,strict_note
FT01-V1_SINGLE_CHANNEL,FT01,综合日报表,V1_SINGLE_CHANNEL,生成租户平台72渠道1932在2026-04-10到2026-04-16的综合日报FULL宽表，用户已按日期+渠道补充投放金额、PV、UV、下载点击UV。,列序贴合Excel；汇总行存在；外部字段和派生率实算。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT01-V2_MULTI_CHANNEL,FT01,综合日报表,V2_MULTI_CHANNEL,生成租户平台72渠道1932和1760在2026-04-10到2026-04-16的综合日报FULL宽表，并按渠道分组输出汇总行。,多渠道不串数；每渠道和总汇总分别按分子分母重算。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT01-V3_CHANNEL_PARTNER,FT01,综合日报表,V3_CHANNEL_PARTNER,按渠道商汇总租户平台72在2026-04-10到2026-04-16综合日报FULL宽表。,支持渠道商粒度；全部渠道时人数去重规则明确。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT02-V1_D7,FT02,ROI回收表,V1_D7,生成渠道整体ROI表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7 ROI宽表和环比。,D1/D3/D7列齐全；环比公式正确。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT02-V2_D360,FT02,ROI回收表,V2_D360,生成渠道整体ROI表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7/D15/D30/D60/D90/D180/D360 ROI宽表和环比。,长周期列齐全；无新增行为时累计值保持。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT02-V3_TOP5_OR_SEGMENT,FT02,ROI回收表,V3_TOP5_OR_SEGMENT,生成渠道整体ROI表：租户平台72渠道1932在2026-04-10到2026-04-16按TOP5/非TOP5分层输出ROI。,top_n=5生效；TOP5+非TOP5可对齐ALL。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT03-V1_D7,FT03,ROI回收表,V1_D7,生成渠道累计收入表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7 累计收入宽表和环比。,D1/D3/D7列齐全；环比公式正确。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT03-V2_D360,FT03,ROI回收表,V2_D360,生成渠道累计收入表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7/D15/D30/D60/D90/D180/D360 累计收入宽表和环比。,长周期列齐全；无新增行为时累计值保持。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT03-V3_TOP5_OR_SEGMENT,FT03,ROI回收表,V3_TOP5_OR_SEGMENT,生成渠道累计收入表：租户平台72渠道1932在2026-04-10到2026-04-16按TOP5/非TOP5分层输出累计收入。,top_n=5生效；TOP5+非TOP5可对齐ALL。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT04-V1_D7,FT04,ROI回收表,V1_D7,生成TOP3 ROI表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7 TOP3 ROI宽表和环比。,D1/D3/D7列齐全；环比公式正确。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT04-V2_D360,FT04,ROI回收表,V2_D360,生成TOP3 ROI表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7/D15/D30/D60/D90/D180/D360 TOP3 ROI宽表和环比。,长周期列齐全；无新增行为时累计值保持。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT04-V3_TOP5_OR_SEGMENT,FT04,ROI回收表,V3_TOP5_OR_SEGMENT,生成TOP3 ROI表：租户平台72渠道1932在2026-04-10到2026-04-16按TOP5/非TOP5分层输出TOP3 ROI。,top_n=5生效；TOP5+非TOP5可对齐ALL。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT05-V1_D7,FT05,ROI回收表,V1_D7,生成TOP3累计收入表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7 TOP3累计收入宽表和环比。,D1/D3/D7列齐全；环比公式正确。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT05-V2_D360,FT05,ROI回收表,V2_D360,生成TOP3累计收入表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7/D15/D30/D60/D90/D180/D360 TOP3累计收入宽表和环比。,长周期列齐全；无新增行为时累计值保持。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT05-V3_TOP5_OR_SEGMENT,FT05,ROI回收表,V3_TOP5_OR_SEGMENT,生成TOP3累计收入表：租户平台72渠道1932在2026-04-10到2026-04-16按TOP5/非TOP5分层输出TOP3累计收入。,top_n=5生效；TOP5+非TOP5可对齐ALL。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT06-V1_BASE,FT06,首存及续存率,V1_BASE,生成租户平台72渠道1932在2026-04-10到2026-04-16首存及二存到六存率FULL表。,汇总/全部/TOP3/非TOP3齐全；比例按汇总分子分母。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT06-V2_TOP5,FT06,首存及续存率,V2_TOP5,生成租户平台72渠道1932在2026-04-10到2026-04-16首存及二存到六存率，并按TOP5/非TOP5分层。,TOP5参数泛化；续存人数/率/均额不串层。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT06-V3_MONTH,FT06,首存及续存率,V3_MONTH,生成租户平台72渠道1932 2026-04整月首存及二存到六存率FULL表。,时间范围扩大后汇总和空日期策略正确。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT07-V1_D7,FT07,投充比与杀率,V1_D7,生成租户平台72渠道1932首存日期2026-04-10到2026-04-16首存用户D1到D7杀率趋势宽表。,D1~D7列齐全；空窗比例为空或按约定输出。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT07-V2_D30,FT07,投充比与杀率,V2_D30,生成租户平台72渠道1932首存日期2026-04-10到2026-04-16首存用户D1到D30杀率趋势宽表。,D1~D30列齐全；宽表不退化成长表。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT07-V3_WEEKLY,FT07,投充比与杀率,V3_WEEKLY,按自然周生成租户平台72渠道1932首存用户杀率趋势宽表。,自然周边界正确；仍保留首存用户口径。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT08-V1_D7,FT08,投充比与杀率,V1_D7,生成租户平台72渠道1932首存日期2026-04-10到2026-04-16首存用户D1到D7投充比趋势宽表。,D1~D7列齐全；空窗比例为空或按约定输出。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT08-V2_D30,FT08,投充比与杀率,V2_D30,生成租户平台72渠道1932首存日期2026-04-10到2026-04-16首存用户D1到D30投充比趋势宽表。,D1~D30列齐全；宽表不退化成长表。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT08-V3_WEEKLY,FT08,投充比与杀率,V3_WEEKLY,按自然周生成租户平台72渠道1932首存用户投充比趋势宽表。,自然周边界正确；仍保留首存用户口径。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT09-V1_ALL_TOP3_VIP,FT09,投充比与杀率,V1_ALL_TOP3_VIP,生成租户平台72渠道1932在2026-04-10到2026-04-16全部/TOP3/非TOP3/VIP分层杀率投充比FULL表。,VIP0~VIP3齐全；ALL/TOP3/非TOP3同时存在。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT09-V2_TOP5,FT09,投充比与杀率,V2_TOP5,生成租户平台72渠道1932在2026-04-10到2026-04-16全部/TOP5/非TOP5杀率投充比表。,top_n=5生效；分层可加总校验。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT09-V3_SINGLE_DAY,FT09,投充比与杀率,V3_SINGLE_DAY,生成租户平台72渠道1932在2026-04-13单日所有用户杀率投充比表。,单日区间分母/分子正确；分母为0策略明确。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT10-V1_FULL_ENUM,FT10,游戏类型流水分布,V1_FULL_ENUM,生成租户平台72渠道1932在2026-04-10到2026-04-16所有用户/TOP3/非TOP3按Excel全游戏类型列的流水分布透视宽表。,所有用户块存在；全游戏类型列齐全；无数据列保留。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT10-V2_TOP5,FT10,游戏类型流水分布,V2_TOP5,生成租户平台72渠道1932在2026-04-10到2026-04-16 TOP5/非TOP5按游戏类型流水分布透视宽表。,TOP5分层和游戏类型透视同时生效。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT10-V3_MONTH,FT10,游戏类型流水分布,V3_MONTH,按2026-04整月输出租户平台72渠道1932游戏类型流水分布透视宽表。,自然月范围；投注占比合计为1。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT11-V1_FULL_BUCKETS,FT11,首存金额分布与占比,V1_FULL_BUCKETS,生成租户平台72渠道1932在2026-04-10到2026-04-16首存金额分布与占比FULL宽表。,所有固定桶和占比交替列齐全；占比合计=1。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT11-V2_SINGLE_WEEK,FT11,首存金额分布与占比,V2_SINGLE_WEEK,生成租户平台72渠道1932在2026-04-10到2026-04-16首存金额分布与占比FULL宽表。,短周期下空桶保留；桶位不丢。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT11-V3_MULTI_CHANNEL,FT11,首存金额分布与占比,V3_MULTI_CHANNEL,对比租户平台72渠道1932和1760在2026-04-10到2026-04-16首存金额分布与占比FULL宽表。,多渠道分组；每渠道占比分母独立。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
